date,project,stage,duration
2015-01-14,4,4,240
2015-01-14,3,2,240
2015-01-15,3,4,240
2015-01-15,3,4,60
2015-01-16,3,4,210
2015-01-20,16,4,120
2015-01-20,3,4,240
2015-01-21,3,4,390
2015-01-21,3,2,30
2015-01-22,3,2,30
2015-01-22,3,4,330
2015-01-22,21,4,60
2015-01-23,3,2,120
2015-01-23,3,4,420
2015-01-25,3,4,240
2015-01-26,3,4,90
2015-01-26,3,4,240
2015-01-27,3,2,30
2015-01-27,18,4,120
2015-01-27,3,4,270
2015-01-28,3,2,45
2015-01-28,3,4,435
2015-01-29,3,4,300
2015-01-29,7,4,60
2015-01-29,21,4,120
2015-01-30,3,4,360
2015-01-30,21,4,60
2015-01-31,3,4,60
2015-02-01,3,4,180
2015-02-02,19,2,80
2015-02-02,3,4,570
2015-02-02,7,4,20
2015-02-02,21,4,30
2015-02-03,3,4,300
2015-02-03,7,4,30
2015-02-03,3,4,240
2015-02-04,3,4,150
2015-02-04,3,4,630
2015-02-05,3,4,390
2015-02-05,3,4,210
2015-02-06,21,4,90
2015-02-06,3,4,90
2015-02-07,3,4,420
2015-02-07,3,4,420
2015-02-08,3,4,180
2015-02-08,3,4,600
2015-02-09,3,4,400
2015-02-09,19,2,60
2015-02-10,3,4,450
2015-02-10,3,4,200
2015-02-11,3,4,120
2015-02-11,3,4,330
2015-02-12,3,4,300
2015-02-16,21,4,90
2015-02-16,6,4,60
2015-02-16,3,4,310
2015-02-16,20,4,90
2015-02-17,6,4,60
2015-02-17,3,2,60
2015-02-17,3,4,90
2015-02-17,21,4,60
2015-02-17,4,4,210
2015-02-17,7,4,30
2015-02-17,14,4,60
2015-02-18,4,4,150
2015-02-18,14,4,120
2015-02-18,18,4,30
2015-02-18,7,4,90
2015-02-18,3,4,60
2015-02-18,21,4,60
2015-02-19,21,4,60
2015-02-19,4,4,45
2015-02-19,4,4,100
2015-02-19,14,4,60
2015-02-19,3,4,210
2015-02-19,7,4,20
2015-02-22,14,4,30
2015-02-22,4,4,60
2015-02-23,4,4,330
2015-02-23,19,2,30
2015-02-23,3,4,90
2015-02-23,14,4,90
2015-02-24,14,4,120
2015-02-24,4,4,240
2015-02-24,3,4,180
2015-02-24,21,4,40
2015-02-25,4,4,45
2015-02-25,4,4,20
2015-02-25,3,4,380
2015-02-25,7,4,60
2015-02-26,4,4,80
2015-02-26,4,4,260
2015-02-26,21,4,30
2015-02-26,17,2,25
2015-02-26,3,4,100
2015-02-27,3,4,90
2015-02-27,4,4,310
2015-02-27,7,4,30
2015-02-28,18,4,660
2015-03-02,1,4,60
2015-03-02,2,5,40
2015-03-02,19,2,80
2015-03-02,4,4,210
2015-03-04,4,4,60
2015-03-04,2,5,45
2015-03-04,1,4,100
2015-03-04,7,4,30
2015-03-04,3,4,45
2015-03-04,6,4,45
2015-03-04,4,4,15
